
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
160;J0417+61;J0417+61;04:17;+61:08;64.25000000;61.13333333;*;*;gbncc;*;
161;J0418-4154;J0418-4154;04:18:03.7;-41:54:14.4;64.51572833;-41.90400556;*;*;ghrss;*;
162;J0418+5732;J0418+5732;04:18:33.8;+57:32:22.9;64.64111250;57.53969722;*;XRS:SGR_0418+5729;misc;AXP,NRAD;
163;J0418+6635;J0418+6635;04:18:48.0;+66:35:25;64.70000000;66.59027778;*;GRS:4FGL_J0418.9+6636[fermi21];misc,FermiAssoc;HE[trr+21,fermi21];
164;J0419+44;J0419+44;04:19;+44;64.75000000;44.00000000;*;*;gb350;*;
165;J0420-5022;J0420-5022;04:20:01.9;-50:22:48.1;65.00812500;-50.38002778;*;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];misc;XINS,NRAD;
166;J0421-0345;J0421-0345;04:21:33.5;-03:45:06.6;65.38981694;-3.75183645;*;*;pks70;*;
167;J0421+3255;J0421+3255;04:21:33.2;+32:55:50;65.38833333;32.93055556;*;*;misc,lotaas;*;
168;J0426+4933;J0426+4933;04:26:06.8;+49:33:38.4;66.52838750;49.56068333;*;*;gb350,htru_eff,lotaas;*;
169;J0435+2749;J0435+2749;04:35:51.8;+27:49:01.7;68.96590833;27.81713889;*;*;ar4,lotaas;*;
170;J0437-4715;J0437-4715;04:37:15.8;-47:15:09.1;69.31623406;-47.25253075;He[vbv+08];GRS:4FGL_J0437.2-4715[fermi21],OPT:[bbm+;pks70,pkshl;HE[bt93,aaa+09f];
171;J0447-04;J0447-04;04:47;-04:35;71.75000000;-4.58333333;*;*;gb350;RRAT;
172;J0448-2749;J0448-2749;04:48:41.5;-27:49:46.7;72.17319758;-27.82964862;*;*;pks70,pkshl;*;
173;J0449-7031;J0449-7031;04:49:05.6;-70:31:31.7;72.27362500;-70.52547222;*;EXGAL:LMC;misc;*;
174;B0447-12;J0450-1248;04:50:08.7;-12:48:07.1;72.53658750;-12.80197222;*;*;mol2,pks70;*;
175;J0451-67;J0451-67;04:51:50;-67:18;72.95833333;-67.30000000;*;EXGAL:LMC;misc;*;
176;B0450-18;J0452-1759;04:52:34.1;-17:59:23.3;73.14210708;-17.98982528;*;*;mol1,mol2,pks70;*;
177;J0453+1559;J0453+1559;04:53:45.4;+15:59:21.3;73.43922367;15.98925175;NS[msf+15];*;ar327;*;
178;J0454+4529;J0454+4529;04:54:59.3;+45:29:46.7;73.74712500;45.49630556;*;*;lotaas;*;
179;B0450+55;J0454+5543;04:54:07.7;+55:43:41.4;73.53229417;55.72817694;*;*;gb1,gb2,gb4,gbncc,lotaas;*;
180;B0456-69;J0455-6951;04:55:47.5;-69:51:34.3;73.94812500;-69.85952778;*;EXGAL:LMC;misc;*;
181;J0456-69;J0456-69;04:56:30;-69:10;74.12500000;-69.16666667;*;EXGAL:LMC;misc;*;
182;J0456-7031;J0456-7031;04:56:02.5;-70:31:06.6;74.01041667;-70.51850000;*;EXGAL:LMC;misc;*;
183;J0457+23;J0457+23;04:57:06;+23:34:00;74.27500000;23.56666667;*;*;ar327,lotaas;*;
184;J0457-6337;J0457-6337;04:57:07.7;-63:37:30.4;74.28245833;-63.62511111;*;*;misc;*;
185;J0457-69;J0457-69;04:57:02;-69:46;74.25833333;-69.76666667;*;EXGAL:LMC;misc;*;
186;J0458-0505;J0458-0505;04:58:37.1;-05:05:05.1;74.65467083;-5.08475000;*;*;gb350;*;
187;J0458-67;J0458-67;04:58:59;-67:43;74.74583333;-67.71666667;*;EXGAL:LMC;misc;*;
188;J0459-0210;J0459-0210;04:59:51.9;-02:10:06.6;74.96642205;-2.16850891;*;*;pks70,lotaas;*;
189;J0501+4516;J0501+4516;05:01:06.7;+45:16:33.9;75.27816667;45.27608889;*;SNR:G160.9+2.6,OPT:[dml+11];misc;AXP,NRAD;
