A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PSR J1810+1744 ,17.743715,2CXO J181037.3+174437 ,272.655465,17.743717,272.655333,0.008
PSR J1816+4510 ,45.176106,2CXO J181635.9+451033 ,274.149613,45.176073,274.149726,0.005
PSR J1824-2452A,-24.869726,2CXO J182431.9-245211 ,276.133318,-24.869676,276.133366,0.004
PSR J1824-2452I,-24.869726,2CXO J182431.9-245211 ,276.133318,-24.869056,276.135542,0.128
PSR J1824-2452A,-24.871483,2CXO J182432.1-245217 ,276.133963,-24.869676,276.133366,0.113
PSR J1824-2452I,-24.871717,2CXO J182432.6-245218 ,276.13619,-24.869056,276.135542,0.164
PSR J1824-2452I,-24.868131,2CXO J182432.7-245205 ,276.136616,-24.869056,276.135542,0.081
PSR J1824-2452I,-24.869038,2CXO J182432.8-245208 ,276.136718,-24.869056,276.135542,0.064
PSR J1824-2452I,-24.867192,2CXO J182433.0-245201 ,276.137581,-24.869056,276.135542,0.158
PSR J1824-2452I,-24.868015,2CXO J182433.0-245204 ,276.13786,-24.869056,276.135542,0.141
PSR J1808-2024 ,-20.411009,2CXO J180839.3-202439 ,272.163821,-20.411069,272.163904,0.006
PSR J1809-2332 ,-23.539682,2CXO J180950.2-233222 ,272.459428,-23.539633,272.459375,0.004
PSR J1811-1925 ,-19.424222,2CXO J181129.2-192527 ,272.871889,-19.424444,272.871667,0.018
PSR J1813-1246 ,-12.76675,2CXO J181323.7-124600 ,273.349044,-12.766444,273.349042,0.018
PSR J1813-1749 ,-17.832534,2CXO J181335.1-174957 ,273.396561,-17.832658,273.3963,0.017
PSR J1822-1604 ,-16.073778,2CXO J182218.0-160425 ,275.575277,-16.074111,275.575,0.026
PSR J1824-2452A,-24.871553,2CXO J182431.5-245217 ,276.131649,-24.869676,276.133366,0.146
PSR J1824-2452A,-24.869062,2CXO J182432.3-245208 ,276.13467,-24.869676,276.133366,0.08
PSR J1824-2452I,-24.869062,2CXO J182432.3-245208 ,276.13467,-24.869056,276.135542,0.047
PSR J1824-2452A,-24.868928,2CXO J182432.4-245208 ,276.135398,-24.869676,276.133366,0.119
PSR J1824-2452I,-24.868928,2CXO J182432.4-245208 ,276.135398,-24.869056,276.135542,0.011
PSR J1824-2452A,-24.869874,2CXO J182432.4-245211 ,276.135353,-24.869676,276.133366,0.109
PSR J1824-2452I,-24.869874,2CXO J182432.4-245211 ,276.135353,-24.869056,276.135542,0.05
PSR J1824-2452I,-24.870897,2CXO J182432.8-245215 ,276.13673,-24.869056,276.135542,0.128
PSR J1824-2452I,-24.869618,2CXO J182433.0-245210 ,276.137727,-24.869056,276.135542,0.124
PSR J1824-2452I,-24.869359,2CXO J182432.2-245209 ,276.134433,-24.869056,276.135542,0.063
PSR J1826-1256 ,-12.942939,2CXO J182608.5-125634 ,276.535592,-12.9425,276.535542,0.026
PSR J1826-1256 ,-12.942145,2CXO J182608.6-125631 ,276.536021,-12.9425,276.535542,0.035
PSR J1826-1334 ,-13.579608,2CXO J182613.1-133446 ,276.554876,-13.579667,276.554896,0.004
PSR J1826-1334 ,-13.57976,2CXO J182612.6-133447 ,276.552526,-13.579667,276.554896,0.138
PSR J1833-1034 ,-10.566537,2CXO J183333.4-103359 ,278.389347,-10.56875,278.389875,0.136
PSR J1833-1034 ,-10.568861,2CXO J183333.5-103407 ,278.38986,-10.56875,278.389875,0.007
PSR J1833-1034 ,-10.568268,2CXO J183333.6-103405X,278.390001,-10.56875,278.389875,0.03
PSR J1834-0845 ,-8.76558,2CXO J183452.1-084556 ,278.717198,-8.765561,278.717158,0.003
PSR J1833-0831 ,-8.518808,2CXO J183344.3-083107 ,278.434946,-8.518806,278.434875,0.004
PSR J1846-0258 ,-2.975011,2CXO J184624.9-025830 ,281.603915,-2.975028,281.603917,0.001
PSR J1838-0655 ,-6.927192,2CXO J183803.0-065537X,279.512697,-6.925944,279.513042,0.078
PSR J1846+0919 ,9.330484,2CXO J184625.8+091949 ,281.607687,9.329444,281.608333,0.073
PSR J1838-0655 ,-6.925997,2CXO J183803.1-065533 ,279.513281,-6.925944,279.513042,0.015
PSR J1841-0456 ,-4.936374,2CXO J184119.3-045610 ,280.330517,-4.936433,280.330596,0.006
PSR J1846-0258 ,-2.975917,2CXO J184624.8-025833 ,281.603461,-2.975028,281.603917,0.06
PSR J1846-0258 ,-2.974539,2CXO J184624.9-025828X,281.604089,-2.975028,281.603917,0.031
PSR J1846-0258 ,-2.973369,2CXO J184625.1-025824 ,281.604884,-2.975028,281.603917,0.115
PSR J1907+0602 ,6.037426,2CXO J190754.7+060214 ,286.97817,6.038028,286.978083,0.036
PSR J1849-0001 ,-0.021551,2CXO J184901.6-000117 ,282.256736,-0.021514,282.2568,0.004
PSR J1852+0040 ,0.67213,2CXO J185238.5+004019 ,283.160731,0.672167,283.160708,0.003
PSR J1856+0113 ,1.223021,2CXO J185610.6+011322 ,284.044504,1.222583,284.044375,0.027
PSR J1907+0919 ,9.322134,2CXO J190714.3+091919 ,286.809682,9.32225,286.809708,0.007
PSR J1958+2846 ,28.765136,2CXO J195840.0+284554 ,299.66685,28.765,299.666958,0.01
