,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_,SRC_ID,src_pred
107,TC0108,CXOGLB J002407.8-720441,[GHE2001] W23 ,6.032525,-72.078211,AB           ,                  ,2CXO J002407.8-720441,6.032612,-72.078232,0.002,TC0112,CV
108,TC0109,CXOGLB J002407.8-720524,[GHE2001] W22 ,6.032646,-72.09015600000001,AB           ,                  ,2CXO J002407.8-720524,6.0328,-72.090147,0.003,TC0113,CV
109,TC0110,CXOGLB J002408.1-720513,[GHE2001] W18 ,6.033908,-72.08703299999999,AB           ,                  ,2CXO J002408.1-720513,6.0341260000000005,-72.08706,0.004,TC0114,CV
110,TC0111,CXOGLB J002408.7-720507,[GHE2001] W14 ,6.036487,-72.085433,AB           ,                  ,2CXO J002408.7-720507,6.036626,-72.085454,0.003,TC0115,CV
111,TC0112,CXOGLB J002409.5-720504,[GHE2001] W12 ,6.039625,-72.084647,AB           ,                  ,2CXO J002409.5-720504,6.039826000000001,-72.08465799999999,0.004,TC0116,CV
112,TC0113,CXOGLB J002410.2-720401,[GHE2001] W167,6.042571,-72.067086,AB           ,                  ,2CXO J002410.2-720401,6.042659,-72.067123,0.003,TC0117,CV
113,TC0114,CXOGLB J002410.4-720459,[GHE2001] W72 ,6.043608,-72.08332800000001,AB           ,                  ,2CXO J002410.4-720500,6.043718,-72.083345,0.002,TC0118,CV
114,TC0115,CXOGLB J002410.5-720506,[GHE2001] W9  ,6.043938,-72.085183,AB           ,                  ,2CXO J002410.5-720506,6.043943,-72.085175,0.001,TC0119,CV
115,TC0116,CXOGLB J002410.6-720529,[GHE2001] W184,6.044158,-72.091447,AB           ,                  ,2CXO J002410.6-720529,6.044218,-72.091472,0.002,TC0120,CV
116,TC0117,CXOGLB J002411.8-720514,[GHE2001] W94 ,6.049221,-72.087378,AB           ,                  ,2CXO J002411.8-720514,6.049228,-72.087417,0.002,TC0121,CV
117,TC0118,CXOGLB J002413.4-720451,[GHE2001] W4  ,6.056029,-72.080894,AB           ,?                 ,2CXO J002413.4-720451,6.0561620000000005,-72.080927,0.003,TC0122,CV
118,TC0119,CXOGLB J002413.4-720523,[GHE2001] W68 ,6.056163,-72.08980600000001,AB           ,                  ,2CXO J002413.4-720523,6.056051,-72.089809,0.002,TC0123,CV
119,TC0120,CXOGLB J002415.1-720443,[GHE2001] W3  ,6.063171,-72.07875,AB           ,                  ,2CXO J002415.1-720443,6.063287,-72.07876999999999,0.002,TC0124,CV
120,TC0121,CXOGLB J002415.6-720441,[GHE2001] W92 ,6.065387,-72.07816899999999,AB           ,                  ,2CXO J002415.6-720441,6.065396,-72.078193,0.001,TC0125,CV
121,TC0122,CXOGLB J002415.9-720451,[GHE2001] W66 ,6.066504,-72.08103100000001,AB           ,                  ,2CXO J002416.0-720451,6.066674,-72.08102,0.003,TC0126,PULSAR
122,TC0123,CXOGLB J002418.8-720602,[GHE2001] W137,6.078313,-72.100761,AB           ,                  ,2CXO J002418.8-720602,6.078341,-72.100808,0.003,TC0128,PULSAR
123,TC0124,CXOGLB J002419.3-720431,[GHE2001] W182,6.080725,-72.07535,AB           ,                  ,2CXO J002419.4-720431,6.080871,-72.075437,0.006,TC0129,PULSAR
124,TC0125,CXOGLB J002425.1-720507,[GHE2001] W163,6.104908,-72.08535,AB           ,                  ,2CXO J002425.1-720507,6.10492,-72.085367,0.001,TC0130,CV
125,TC0126,CXOGLB J002331.5-720515,[GHE2001] W350,5.881425,-72.087661,             ,                  ,2CXO J002331.4-720515,5.881189,-72.087654,0.004,TC0131,CV
126,,,,,,,,,,,,TC0132,CV
127,TC0128,CXOGLB J002339.1-720604,[GHE2001] W176,5.913271,-72.101311,             ,                  ,2CXO J002339.2-720604,5.913403,-72.10126899999999,0.004,TC0133,PULSAR
128,TC0129,CXOGLB J002341.1-720511,[GHE2001] W348,5.921421,-72.086603,             ,                  ,2CXO J002341.0-720512,5.920972,-72.086739,0.012,TC0134,PULSAR
129,TC0130,CXOGLB J002341.3-720402,[GHE2001] W347,5.922104,-72.067442,             ,                  ,2CXO J002341.2-720403,5.92173,-72.067607,0.012,TC0135,PULSAR
130,TC0131,CXOGLB J002342.6-720359,[GHE2001] W346,5.927642,-72.066378,             ,                  ,2CXO J002342.5-720359,5.927407,-72.06646500000001,0.006999999999999999,TC0136,CV
131,TC0132,CXOGLB J002344.8-720602,[GHE2001] W126,5.936813,-72.10055799999999,             ,                  ,2CXO J002344.8-720602,5.93685,-72.10062099999999,0.004,TC0137,PULSAR
132,TC0133,CXOGLB J002345.9-720458,[GHE2001] W345,5.941325,-72.083033,             ,                  ,2CXO J002345.8-720459,5.941221,-72.08315,0.006999999999999999,TC0138,CV
133,TC0134,CXOGLB J002346.3-720401,[GHE2001] W344,5.943037,-72.067203,             ,                  ,2CXO J002346.3-720401,5.94313,-72.06720899999999,0.002,TC0139,NS
134,TC0135,CXOGLB J002348.9-720719,[GHE2001] W342,5.954025,-72.121942,             ,                  ,2CXO J002348.9-720719,5.95413,-72.122025,0.005,TC0140,CV
135,TC0136,CXOGLB J002349.2-720351,[GHE2001] W340,5.9552830000000005,-72.064289,             ,                  ,2CXO J002349.2-720351,5.955347,-72.06434399999999,0.004,TC0141,PULSAR
136,TC0137,CXOGLB J002349.2-720537,[GHE2001] W341,5.955146,-72.093739,             ,                  ,2CXO J002349.2-720538,5.955211,-72.09393399999999,0.012,TC0142,PULSAR
137,TC0138,CXOGLB J002350.6-720541,[GHE2001] W90 ,5.961125,-72.09486700000001,             ,                  ,2CXO J002350.7-720541,5.96133,-72.09490500000001,0.004,TC0143,CV
138,TC0139,CXOGLB J002351.9-720343,[GHE2001] W334,5.966621,-72.062172,             ,                  ,2CXO J002351.9-720343,5.966618,-72.06219499999999,0.001,TC0144,CV
139,TC0140,CXOGLB J002351.9-720429,[GHE2001] W103,5.966392,-72.074967,             ,                  ,2CXO J002351.9-720430,5.9664269999999995,-72.075,0.002,TC0145,PULSAR
140,TC0141,CXOGLB J002351.9-720453,[GHE2001] W336,5.966317,-72.081625,             ,                  ,2CXO J002351.9-720453,5.96631,-72.081643,0.001,TC0146,PULSAR
141,TC0142,CXOGLB J002352.0-720436,[GHE2001] W335,5.966729,-72.076861,             ,                  ,2CXO J002352.0-720436,5.96675,-72.076938,0.005,TC0147,CV
142,TC0143,CXOGLB J002352.2-720723,[GHE2001] W147,5.96765,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776000000001,-72.123257,0.004,TC0148,CV
143,TC0144,CXOGLB J002352.2-720723,[GHE2001] W147,5.967733,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776000000001,-72.123257,0.004,TC0149,PULSAR
