#index,ra,dec,
714,13:24:13.6,-63:02:21.1,
715,13:26:42,+33:46,
716,13:26:58.2,-58:59:29.2,
717,13:26:32.4,-64:08:43.8,
718,13:26:02.7,-67:00:49.2,
719,13:27:57.5,-07:55:29.8,
720,13:27:17.1,-62:22:45.4,
721,13:27:07.4,-63:01:15.5,
722,13:27:10.2,-64:00:13.1,
723,13:28:06.4,-43:57:44.1,
724,13:28:33.5,-49:21:33.4,
725,13:29:00,+13:44,
726,13:29:03.3,-61:58:59,
727,13:31:00.0,-52:45:25.4,
728,13:32,-03:26,
729,13:32:52.4,-30:32:17.3,
730,13:33:44.8,-44:49:26.2,
731,13:34:30,+10:05,
732,13:34:30.1,-58:39:16.5,
733,13:35:36,-36:42,
734,13:36:20.8,-25:22:01.6,
735,13:36:00,+33:46,
736,13:37:06,-44:43,
737,13:37:20.3,-63:06:23.3,
738,13:37:31.8,-64:23:04.9,
739,13:38:09.2,-62:04:18.7,
740,13:39:56.5,-47:12:05.5,
741,13:39:56.6,-66:18:07.8,
742,13:40:00.3,-64:56:42.9,
743,13:41:07.3,-60:23:34.7,
744,13:41:42.6,-62:20:20.7,
745,13:42:11,+28:22:32,
746,13:42:11.0,+28:22:40.1,
747,13:42:11,+28:22:32,
748,13:42:10.2,+28:22:36,
